USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
andrius,omnitel,cm10.1,5,1,1367005073859,TCP,com.facebook.katana,-1,127,10.139.202.228,31.13.64.32,52063,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073859,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,43225,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073859,TCP,com.facebook.katana,1,99,31.13.64.32,10.139.202.228,443,43225,0,1,0
andrius,omnitel,cm10.1,5,1,1367005073859,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074642,TCP,com.facebook.katana,-1,966,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074643,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,60873,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074644,TCP,com.facebook.katana,1,52,69.171.245.80,10.139.202.228,5228,55307,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074644,TCP,com.facebook.katana,1,99,69.171.245.80,10.139.202.228,5228,55307,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074645,TCP,com.facebook.katana,-1,52,10.139.202.228,69.171.245.80,55307,5228,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074646,TCP,com.facebook.katana,-1,78,10.139.202.228,69.171.245.80,55307,5228,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074647,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074648,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074649,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074649,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074650,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074651,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074652,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074652,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074653,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,37036,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074685,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,52063,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074686,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,52063,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074687,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,52063,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074688,TCP,com.facebook.katana,1,429,31.13.64.32,10.139.202.228,443,60873,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074224,TCP,com.facebook.katana,1,353,31.13.64.32,10.139.202.228,443,60873,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074224,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,43225,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074224,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,60873,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074225,TCP,com.facebook.katana,-1,751,10.139.202.228,31.13.64.32,60873,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074225,TCP,com.facebook.katana,1,52,69.171.245.80,10.139.202.228,5228,55307,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074225,TCP,com.facebook.katana,-1,1195,10.139.202.228,69.171.245.80,55307,5228,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074225,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,60873,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074225,TCP,com.facebook.katana,1,501,31.13.64.32,10.139.202.228,443,52063,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074358,TCP,com.facebook.katana,1,582,31.13.64.32,10.139.202.228,443,52063,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074358,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,52063,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074358,TCP,com.facebook.katana,1,437,31.13.64.32,10.139.202.228,443,43225,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074358,TCP,com.facebook.katana,1,475,31.13.64.32,10.139.202.228,443,43225,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074358,TCP,com.facebook.katana,-1,52,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074358,TCP,com.facebook.katana,-1,685,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074358,TCP,com.facebook.katana,-1,257,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074358,TCP,com.facebook.katana,-1,247,10.139.202.228,31.13.64.32,43225,443,0,1,0
